,trade_date,Position_Changing,Factor
0,2014-01-02,0,
1,2014-01-03,0,
2,2014-01-06,0,
3,2014-01-07,0,
4,2014-01-08,0,
5,2014-01-09,0,
6,2014-01-10,0,
7,2014-01-13,0,
8,2014-01-14,0,
9,2014-01-15,0,
10,2014-01-16,0,
11,2014-01-17,0,
12,2014-01-20,0,
13,2014-01-21,0,
14,2014-01-22,0,
15,2014-01-23,0,
16,2014-01-24,0,
17,2014-01-27,0,
18,2014-01-28,0,
19,2014-01-29,0,
20,2014-01-30,0,
21,2014-02-07,0,
22,2014-02-10,0,
23,2014-02-11,0,
24,2014-02-12,0,
25,2014-02-13,0,
26,2014-02-14,0,
27,2014-02-17,0,
28,2014-02-18,0,
29,2014-02-19,0,
30,2014-02-20,0,
31,2014-02-21,0,
32,2014-02-24,0,
33,2014-02-25,0,
34,2014-02-26,0,
35,2014-02-27,0,
36,2014-02-28,0,
37,2014-03-03,0,
38,2014-03-04,0,
39,2014-03-05,0,
40,2014-03-06,0,
41,2014-03-07,0,
42,2014-03-10,1,-0.0
43,2014-03-11,0,
44,2014-03-12,0,
45,2014-03-13,0,
46,2014-03-14,0,
47,2014-03-17,1,-0.0
48,2014-03-18,0,
49,2014-03-19,0,
50,2014-03-20,0,
51,2014-03-21,0,
52,2014-03-24,1,0.0
53,2014-03-25,0,
54,2014-03-26,0,
55,2014-03-27,0,
56,2014-03-28,0,
57,2014-03-31,1,0.0
58,2014-04-01,0,
59,2014-04-02,0,
60,2014-04-03,0,
61,2014-04-04,0,
62,2014-04-08,1,-0.0
63,2014-04-09,0,
64,2014-04-10,0,
65,2014-04-11,0,
66,2014-04-14,1,814.1317325719599
67,2014-04-15,0,
68,2014-04-16,0,
69,2014-04-17,0,
70,2014-04-18,0,
71,2014-04-21,1,-0.0
72,2014-04-22,0,
73,2014-04-23,0,
74,2014-04-24,0,
75,2014-04-25,0,
76,2014-04-28,1,1478.4200818757747
77,2014-04-29,0,
78,2014-04-30,0,
79,2014-05-05,1,956.0200995951772
80,2014-05-06,0,
81,2014-05-07,0,
82,2014-05-08,0,
83,2014-05-09,0,
84,2014-05-12,1,-125.57796390594183
85,2014-05-13,0,
86,2014-05-14,0,
87,2014-05-15,0,
88,2014-05-16,0,
89,2014-05-19,1,-164.53984033787233
90,2014-05-20,0,
91,2014-05-21,0,
92,2014-05-22,0,
93,2014-05-23,0,
94,2014-05-26,1,12164.399946442592
95,2014-05-27,0,
96,2014-05-28,0,
97,2014-05-29,0,
98,2014-05-30,0,
99,2014-06-03,1,-4081.12379039468
100,2014-06-04,0,
101,2014-06-05,0,
102,2014-06-06,0,
103,2014-06-09,1,-1045.63205361946
104,2014-06-10,0,
105,2014-06-11,0,
106,2014-06-12,0,
107,2014-06-13,0,
108,2014-06-16,1,19.248219193058222
